Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,body_type,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tisse,ucp1_expression,AssemblyName
SRR8503312,RNA-Seq,250,14062042000,PRJNA517713,SAMN10841471,Obese,5810530163,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307233,GSM3583319,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583319,Adipose tissue,SRP182842,epicardial adipose,Low UCP1-eAT,
SRR8503313,RNA-Seq,250,14184787250,PRJNA517713,SAMN10841470,Obese,5631161979,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307234,GSM3583320,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583320,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503314,RNA-Seq,250,12026568250,PRJNA517713,SAMN10841470,Obese,5139542774,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307234,GSM3583320,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583320,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503315,RNA-Seq,250,14960004750,PRJNA517713,SAMN10841469,Obese,5760019643,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307235,GSM3583321,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583321,Adipose tissue,SRP182842,epicardial adipose,High UCP1 -eAT,
SRR8503316,RNA-Seq,250,14669198250,PRJNA517713,SAMN10841468,Lean,6059587264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307236,GSM3583322,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583322,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503317,RNA-Seq,250,13751095500,PRJNA517713,SAMN10841467,Lean,5276035322,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307237,GSM3583323,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583323,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503318,RNA-Seq,250,11321399750,PRJNA517713,SAMN10841466,Lean,4757434142,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307238,GSM3583324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583324,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503319,RNA-Seq,250,12494089750,PRJNA517713,SAMN10841466,Lean,5166613919,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307238,GSM3583324,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583324,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503320,RNA-Seq,250,11636791500,PRJNA517713,SAMN10841465,Lean,4961074331,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307239,GSM3583325,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583325,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503321,RNA-Seq,250,10860448750,PRJNA517713,SAMN10841464,Obese,4543140256,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307240,GSM3583326,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583326,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503322,RNA-Seq,250,14282562250,PRJNA517713,SAMN10841464,Obese,5861142437,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307240,GSM3583326,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583326,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503323,RNA-Seq,250,9477466000,PRJNA517713,SAMN10841463,Lean,3979870839,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307241,GSM3583327,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583327,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503324,RNA-Seq,250,13339426750,PRJNA517713,SAMN10841463,Lean,5346428368,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307241,GSM3583327,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583327,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503325,RNA-Seq,250,16645517250,PRJNA517713,SAMN10841462,Obese,6615325280,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307242,GSM3583328,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583328,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503326,RNA-Seq,250,12653348250,PRJNA517713,SAMN10841461,Obese,4715728677,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307243,GSM3583329,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583329,Adipose tissue,SRP182842,mediastinal adipose,Low UCP1-eAT,
SRR8503327,RNA-Seq,250,18587865250,PRJNA517713,SAMN10841460,Obese,7217673844,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307244,GSM3583330,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583330,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503328,RNA-Seq,250,13301572000,PRJNA517713,SAMN10841460,Obese,5332017552,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307244,GSM3583330,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583330,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503329,RNA-Seq,250,17210498750,PRJNA517713,SAMN10841459,Obese,6935207177,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307245,GSM3583331,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583331,Adipose tissue,SRP182842,mediastinal adipose,High UCP1 -eAT,
SRR8503330,RNA-Seq,250,15460243500,PRJNA517713,SAMN10841458,Lean,6024663929,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307246,GSM3583332,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583332,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,
SRR8503331,RNA-Seq,250,13130199500,PRJNA517713,SAMN10841458,Lean,5281400363,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307246,GSM3583332,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583332,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,
SRR8503332,RNA-Seq,250,9879965500,PRJNA517713,SAMN10841457,Lean,3927268730,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307247,GSM3583333,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583333,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,
SRR8503333,RNA-Seq,250,8873528750,PRJNA517713,SAMN10841457,Lean,3253083282,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307247,GSM3583333,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583333,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,
SRR8503334,RNA-Seq,250,16525709500,PRJNA517713,SAMN10841456,Lean,6551852186,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307248,GSM3583334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583334,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503335,RNA-Seq,250,13208576250,PRJNA517713,SAMN10841456,Lean,5011505402,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307248,GSM3583334,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583334,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503336,RNA-Seq,250,17666586250,PRJNA517713,SAMN10841455,Lean,7153765892,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307249,GSM3583335,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583335,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503337,RNA-Seq,250,14639938750,PRJNA517713,SAMN10841455,Lean,5956367149,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307249,GSM3583335,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583335,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503338,RNA-Seq,250,20492899000,PRJNA517713,SAMN10841454,Obese,7921978750,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307250,GSM3583336,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583336,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,
SRR8503339,RNA-Seq,250,13780280000,PRJNA517713,SAMN10841453,Lean,5528110292,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307251,GSM3583337,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583337,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503340,RNA-Seq,250,16068734000,PRJNA517713,SAMN10841453,Lean,6354045929,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307251,GSM3583337,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583337,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503341,RNA-Seq,250,21488607500,PRJNA517713,SAMN10841452,Obese,8818731379,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307252,GSM3583338,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583338,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503342,RNA-Seq,250,11742281250,PRJNA517713,SAMN10841451,Obese,4500835993,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Non-CAD,SRX5307253,GSM3583339,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583339,Adipose tissue,SRP182842,subcutaneous adipose,Low UCP1-eAT,
SRR8503343,RNA-Seq,250,16520739250,PRJNA517713,SAMN10841450,Obese,4410363264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307254,GSM3583340,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583340,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,GCA_000001405.13
SRR8503344,RNA-Seq,250,18190796750,PRJNA517713,SAMN10841450,Obese,4729239559,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307254,GSM3583340,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583340,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,GCA_000001405.13
SRR8503345,RNA-Seq,250,16045662500,PRJNA517713,SAMN10841449,Obese,4311635184,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307255,GSM3583341,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583341,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,GCA_000001405.13
SRR8503346,RNA-Seq,250,18586123000,PRJNA517713,SAMN10841449,Obese,4852995811,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",CAD,SRX5307255,GSM3583341,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-06-11T00:00:00Z,GSM3583341,Adipose tissue,SRP182842,subcutaneous adipose,High UCP1 -eAT,GCA_000001405.13
