Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,passage,RNAi_treatment,Condition,treatment
SRR1959047,RNA-Seq,51,2527697241,PRJNA257780,SAMN03468195,2227260823,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984338,GSM1654552,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654552,human peripheral blood mononuclear cells,SRP045355,,,chronic ischemic heart failure,
SRR1959048,RNA-Seq,51,2653558101,PRJNA257780,SAMN03468196,2362951356,peripheral blood mononuclear cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984339,GSM1654554,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654554,human peripheral blood mononuclear cells,SRP045355,,,chronic ischemic heart failure,
SRR1959049,RNA-Seq,194,7962829134,PRJNA257780,SAMN03468197,5407536815,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984340,GSM1654556,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654556,human umbilical vein endothelial cells,SRP045355,,,,24h hypoxia treatment
SRR1959050,RNA-Seq,194,8644081668,PRJNA257780,SAMN03468198,5885694214,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984341,GSM1654559,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654559,human umbilical vein endothelial cells,SRP045355,,,,24h hypoxia treatment
SRR1959051,RNA-Seq,194,8297626574,PRJNA257780,SAMN03468199,5697934846,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984342,GSM1654561,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654561,human umbilical vein endothelial cells,SRP045355,,,,control
SRR1959052,RNA-Seq,194,8173579288,PRJNA257780,SAMN03468200,5622400932,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX984343,GSM1654563,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1654563,human umbilical vein endothelial cells,SRP045355,,,,control
SRR3091822,RNA-Seq,101,6768024645,PRJNA257780,SAMN04390616,4732995946,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522223,GSM2033141,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033141,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091823,RNA-Seq,101,3899983195,PRJNA257780,SAMN04390617,2728223234,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522224,GSM2033142,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033142,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091824,RNA-Seq,101,3663637236,PRJNA257780,SAMN04390618,2600147803,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522225,GSM2033143,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033143,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091826,RNA-Seq,101,5738938170,PRJNA257780,SAMN04390620,4073020669,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522227,GSM2033145,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033145,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR3091827,RNA-Seq,101,2824186543,PRJNA257780,SAMN04390621,1970575182,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522228,GSM2033146,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033146,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR3091828,RNA-Seq,101,3215795459,PRJNA257780,SAMN04390622,2282932262,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522229,GSM2033147,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033147,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091829,RNA-Seq,101,4870344129,PRJNA257780,SAMN04390623,3403457632,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522230,GSM2033148,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033148,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091830,RNA-Seq,101,6265786793,PRJNA257780,SAMN04390624,4379890703,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522231,GSM2033149,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033149,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091831,RNA-Seq,101,3435916071,PRJNA257780,SAMN04390625,2413609314,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522232,GSM2033150,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033150,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR3091832,RNA-Seq,101,5444798395,PRJNA257780,SAMN04390626,3787179284,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522233,GSM2033151,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033151,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR3091833,RNA-Seq,101,4311149549,PRJNA257780,SAMN04390627,3031817340,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522234,GSM2033152,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033152,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR3091834,RNA-Seq,57,518294426,PRJNA257780,SAMN04390628,414717095,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522235,GSM2033153,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033153,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scramble G),,
SRR3091835,RNA-Seq,58,401706760,PRJNA257780,SAMN04390629,319387807,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522236,GSM2033154,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033154,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR1539273,RNA-Seq,52,2126951060,PRJNA257780,SAMN02978946,1795726026,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672208,GSM1467837,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467837,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scrambled 1),,
SRR1539274,RNA-Seq,52,1675004396,PRJNA257780,SAMN02978947,1415477226,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672209,GSM1467838,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467838,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scrambled 2),,
SRR1539275,RNA-Seq,52,2087660328,PRJNA257780,SAMN02978949,1761509940,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672210,GSM1467839,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467839,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR1539276,RNA-Seq,52,2238621216,PRJNA257780,SAMN02978950,1882247445,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672211,GSM1467840,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467840,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR2,,
SRR1539277,RNA-Seq,52,1764511008,PRJNA257780,SAMN02978951,1521231297,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672212,GSM1467841,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467841,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scrambled 1),,
SRR1539278,RNA-Seq,52,2342088008,PRJNA257780,SAMN02978952,2024017012,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672213,GSM1467842,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467842,human umbilical vein endothelial cells,SRP045355,passage 3,scrambled nucleotides (Scrambled 2),,
SRR1539279,RNA-Seq,52,2178208552,PRJNA257780,SAMN02978953,1883695546,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672214,GSM1467843,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467843,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
SRR1539280,RNA-Seq,52,1909391952,PRJNA257780,SAMN02978954,1650754193,umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX672215,GSM1467844,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM1467844,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR2,,
SRR3091825,RNA-Seq,101,3427498125,PRJNA257780,SAMN04390619,2410249614,human umbilical vein endothelial cells,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1522226,GSM2033144,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-06T00:00:00Z,GSM2033144,human umbilical vein endothelial cells,SRP045355,passage 3,siADAR1,,
